part_no,internal_model,external_model
1.0.01.04.49915-9901,DH-IPC-HDBW5459ZP-ZHE-PV-0832-PRO-ATC-LE,DH-IPC-HDBW5459Z-Z4HE-PV-PRO-ATC-LE
1.0.01.04.49914-9901,DH-IPC-HDBW5459ZP-ZHE-PV-2712-PRO-ATC-LE,DH-IPC-HDBW5459Z-ZHE-PV-PRO-ATC-LE
1.0.01.04.49939-9901,DH-IPC-HDBW5859R1P-ASE-PV-0360B-PRO-ATC-LE,DH-IPC-HDBW5859R1-ASE-PV-PRO-ATC-LE
1.0.01.04.49938-9901,DH-IPC-HDBW5859R1P-ASE-PV-0280B-PRO-ATC-LE,DH-IPC-HDBW5859R1-ASE-PV-PRO-ATC-LE
1.0.01.04.49917-9901,DH-IPC-HDBW5859ZP-ZHE-PV-0832-PRO-ATC-LE,DH-IPC-HDBW5859Z-Z4HE-PV-PRO-ATC-LE
1.0.01.04.49916-9901,DH-IPC-HDBW5859ZP-ZHE-PV-2712-PRO-ATC-LE,DH-IPC-HDBW5859Z-ZHE-PV-PRO-ATC-LE
1.0.01.04.49886-9901,DH-IPC-HDW5459HP-ZE-PV-2712-PRO-ATC-LE,DH-IPC-HDW5459H-ZE-PV-PRO-ATC-LE
1.0.01.04.49887-9901,DH-IPC-HDW5859HP-ZE-PV-2712-PRO-ATC-LE,DH-IPC-HDW5859H-ZE-PV-PRO-ATC-LE
1.0.01.04.49899-9901,DH-IPC-HFW5459T1P-ASE-PV-0360B-PRO-ATC-LE,DH-IPC-HFW5459T1-ASE-PV-PRO-ATC-LE
1.0.01.04.49898-9901,DH-IPC-HFW5459T1P-ASE-PV-0280B-PRO-ATC-LE,DH-IPC-HFW5459T1-ASE-PV-PRO-ATC-LE
1.0.01.04.49953-9901,DH-IPC-HFW5459ZP-ZHE-PV-0832-PRO-ATC-LE,DH-IPC-HFW5459Z-Z4HE-PV-PRO-ATC-LE
1.0.01.04.49952-9901,DH-IPC-HFW5459ZP-ZHE-PV-2712-PRO-ATC-LE,DH-IPC-HFW5459Z-ZHE-PV-PRO-ATC-LE
1.0.01.04.49901-9901,DH-IPC-HFW5859T1P-ASE-PV-0360B-PRO-ATC-LE,DH-IPC-HFW5859T1-ASE-PV-PRO-ATC-LE
1.0.01.04.49900-9901,DH-IPC-HFW5859T1P-ASE-PV-0280B-PRO-ATC-LE,DH-IPC-HFW5859T1-ASE-PV-PRO-ATC-LE
1.0.01.04.49955-9901,DH-IPC-HFW5859ZP-ZHE-PV-0832-PRO-ATC-LE,DH-IPC-HFW5859Z-Z4HE-PV-PRO-ATC-LE
1.0.01.04.49954-9901,DH-IPC-HFW5859ZP-ZHE-PV-2712-PRO-ATC-LE,DH-IPC-HFW5859Z-ZHE-PV-PRO-ATC-LE
1.0.01.04.49691-9901,DH-IPC-HDBW5459E1P-ZE-IL-0832-ATC-LE,DH-IPC-HDBW5459E1-Z4E-IL-ATC-LE
1.0.01.04.49683-9901,DH-IPC-HDBW5459E1P-ZE-IL-2712-ATC-LE,DH-IPC-HDBW5459E1-ZE-IL-ATC-LE
1.0.01.04.49684-9901,DH-IPC-HDBW5459E1P-ZHE-IL-2712-ATC-LE,DH-IPC-HDBW5459E1-ZHE-IL-ATC-LE
1.0.01.04.49681-9901,DH-IPC-HDBW5559E1P-ZE-IL-0735-ATC-LE,DH-IPC-HDBW5559E1-Z5E-IL-ATC-LE
1.0.01.04.49677-9901,DH-IPC-HDBW5559E1P-ZE-IL-27135-ATC-LE,DH-IPC-HDBW5559E1-ZE-IL-ATC-LE
1.0.01.04.49678-9901,DH-IPC-HDBW5559E1P-ZHE-IL-27135-ATC-LE,DH-IPC-HDBW5559E1-ZHE-IL-ATC-LE
1.0.01.04.49692-9901,DH-IPC-HDBW5859E1P-ZE-IL-0832-ATC-LE,DH-IPC-HDBW5859E1-Z4E-IL-ATC-LE
1.0.01.04.49685-9901,DH-IPC-HDBW5859E1P-ZE-IL-2712-ATC-LE,DH-IPC-HDBW5859E1-ZE-IL-ATC-LE
1.0.01.04.49686-9901,DH-IPC-HDBW5859E1P-ZHE-IL-2712-ATC-LE,DH-IPC-HDBW5859E1-ZHE-IL-ATC-LE
1.0.01.04.49709-9901,DH-IPC-HFW5459E1P-ZE-IL-0832-ATC-LE,DH-IPC-HFW5459E1-Z4E-IL-ATC-LE
1.0.01.04.49701-9901,DH-IPC-HFW5459E1P-ZE-IL-2712-ATC-LE,DH-IPC-HFW5459E1-ZE-IL-ATC-LE
1.0.01.04.49702-9901,DH-IPC-HFW5459E1P-ZHE-IL-2712-ATC-LE,DH-IPC-HFW5459E1-ZHE-IL-ATC-LE
1.0.01.04.49696-9901,DH-IPC-HFW5559E1P-ZE-IL-0735-ATC-LE,DH-IPC-HFW5559E1-Z5E-IL-ATC-LE
1.0.01.04.49695-9901,DH-IPC-HFW5559E1P-ZE-IL-27135-ATC-LE,DH-IPC-HFW5559E1-ZE-IL-ATC-LE
1.0.01.04.49699-9901,DH-IPC-HFW5559E1P-ZHE-IL-27135-ATC-LE,DH-IPC-HFW5559E1-ZHE-IL-ATC-LE
1.0.01.04.49710-9901,DH-IPC-HFW5859E1P-ZE-IL-0832-ATC-LE,DH-IPC-HFW5859E1-Z4E-IL-ATC-LE
1.0.01.04.49703-9901,DH-IPC-HFW5859E1P-ZE-IL-2712-ATC-LE,DH-IPC-HFW5859E1-ZE-IL-ATC-LE
1.0.01.04.49704-9901,DH-IPC-HFW5859E1P-ZHE-IL-2712-ATC-LE,DH-IPC-HFW5859E1-ZHE-IL-ATC-LE
1.0.01.04.45231-9002,DH-IPC-MFW5241T2P-E3-ASE-0360/1200/2500B-QH,DH-IPC-MFW5241T2-E3-ASE
